Opioid Overdose Deaths by Race/Ethnicity 2022,,,,,,,,,
Location,Overall,White,Black,Hispanic,Asian,American Indian or Alaska Native,Native Hawaiian/Pacific Islander,Multiple Races,
United States,NaN,NaN,NaN,NaN,683,NaN,55,NaN,
Alabama,NaN,773,296,21,N/A,N/A,0,N/A,
Alaska,188,97,N/A,10,0,53,0,24,
Arizona,NaN,998,121,585,15,127,N/A,58,
Arkansas,388,308,67,N/A,N/A,N/A,0,N/A,
California,NaN,NaN,811,NaN,187,76,16,194,
Colorado,NaN,711,86,327,10,18,0,16,
Connecticut,NaN,784,233,284,N/A,N/A,0,12,
Delaware,490,327,133,26,0,N/A,0,N/A,
District of Columbia,345,25,308,10,N/A,0,0,0,
Florida,NaN,NaN,668,865,20,14,0,39,
Georgia,NaN,NaN,535,77,17,N/A,N/A,N/A,
Hawaii,103,38,N/A,16,N/A,0,N/A,25,
Idaho,270,229,N/A,22,N/A,11,0,N/A,
Illinois,NaN,NaN,NaN,361,26,N/A,0,18,
Indiana,NaN,NaN,362,76,N/A,N/A,N/A,14,
Iowa,236,172,37,16,0,N/A,0,N/A,
Kansas,506,363,50,54,N/A,N/A,0,18,
Kentucky,NaN,NaN,225,42,N/A,N/A,0,N/A,
Louisiana,NaN,916,387,49,N/A,N/A,0,N/A,
Maine,619,568,13,N/A,N/A,N/A,0,N/A,
Maryland,NaN,NaN,972,118,18,N/A,0,N/A,
Massachusetts,NaN,NaN,271,378,17,N/A,0,24,
Michigan,NaN,NaN,686,132,12,16,0,34,
Minnesota,NaN,559,242,67,N/A,116,0,36,
Mississippi,543,417,113,N/A,N/A,N/A,0,N/A,
Missouri,NaN,NaN,462,40,N/A,N/A,N/A,23,
Montana,130,95,0,N/A,N/A,24,0,N/A,
Nebraska,122,80,28,N/A,N/A,0,0,N/A,
Nevada,639,405,81,119,N/A,N/A,N/A,15,
New Hampshire,431,388,17,18,N/A,N/A,0,N/A,
New Jersey,NaN,NaN,726,478,31,N/A,0,12,
New Mexico,733,223,13,411,N/A,71,0,N/A,
New York,NaN,NaN,NaN,NaN,66,27,0,30,
North Carolina,NaN,NaN,814,182,14,93,N/A,36,
North Dakota,97,58,N/A,N/A,0,21,0,N/A,
Ohio,NaN,NaN,878,153,16,10,0,18,
Oklahoma,761,471,88,61,N/A,89,0,43,
Oregon,968,731,53,91,N/A,37,N/A,33,
Pennsylvania,NaN,NaN,825,395,24,N/A,N/A,32,
Rhode Island,333,224,27,64,N/A,N/A,0,N/A,
South Carolina,NaN,NaN,366,59,N/A,12,0,N/A,
South Dakota,46,24,N/A,N/A,N/A,13,0,N/A,
Tennessee,NaN,NaN,687,113,N/A,N/A,0,17,
Texas,NaN,NaN,453,927,33,N/A,N/A,16,
Utah,427,340,N/A,56,N/A,N/A,N/A,11,
Vermont,239,223,N/A,N/A,0,0,0,N/A,
Virginia,NaN,NaN,674,127,16,N/A,0,18,
Washington,NaN,NaN,176,234,39,107,15,99,
West Virginia,NaN,NaN,77,N/A,0,0,0,N/A,
Wisconsin,NaN,916,302,125,N/A,65,0,17,
Wyoming,83,67,N/A,N/A,0,N/A,0,0,
